ds,cve_publicadas
2023-02-01,86
2023-02-02,16
2023-02-03,78
2023-02-04,3
2023-02-05,0
2023-02-06,37
2023-02-07,31
2023-02-08,30
2023-02-09,43
2023-02-10,23
2023-02-11,14
2023-02-12,42
2023-02-13,42
2023-02-14,126
2023-02-15,64
2023-02-16,64
2023-02-17,60
2023-02-18,2
2023-02-19,2
2023-02-20,21
2023-02-21,18
2023-02-22,38
2023-02-23,23
2023-02-24,20
2023-02-25,15
2023-02-26,8
2023-02-27,70
2023-02-28,37
2023-03-01,49
2023-03-02,23
2023-03-03,27
2023-03-04,3
2023-03-05,1
2023-03-06,38
2023-03-07,31
2023-03-08,30
2023-03-09,29
2023-03-10,55
2023-03-11,0
2023-03-12,3
2023-03-13,42
2023-03-14,82
2023-03-15,39
2023-03-16,64
2023-03-17,12
2023-03-18,4
2023-03-19,8
2023-03-20,17
2023-03-21,41
2023-03-22,43
2023-03-23,53
2023-03-24,80
2023-03-25,23
2023-03-26,4
2023-03-27,87
2023-03-28,101
2023-03-29,151
2023-03-30,23
2023-03-31,26
2023-04-01,9
2023-04-02,16
2023-04-03,19
2023-04-04,75
2023-04-05,31
2023-04-06,22
2023-04-07,50
2023-04-08,1
2023-04-09,9
2023-04-10,37
2023-04-11,125
2023-04-12,47
2023-04-13,54
2023-04-14,55
2023-04-15,30
2023-04-16,18
2023-04-17,40
2023-04-18,42
2023-04-19,68
2023-04-20,24
2023-04-21,17
2023-04-22,10
2023-04-23,4
2023-04-24,61
2023-04-25,35
2023-04-26,34
2023-04-27,37
2023-04-28,34
2023-04-29,4
2023-04-30,1
2023-05-01,16
2023-05-02,34
2023-05-03,20
2023-05-04,36
2023-05-05,19
2023-05-06,1
2023-05-07,3
2023-05-08,89
2023-05-09,104
2023-05-10,71
2023-05-11,47
2023-05-12,40
2023-05-13,0
2023-05-14,0
2023-05-15,76
2023-05-16,39
2023-05-17,27
2023-05-18,37
2023-05-19,8
2023-05-20,11
2023-05-21,1
2023-05-22,46
2023-05-23,49
2023-05-24,33
2023-05-25,26
2023-05-26,36
2023-05-27,10
2023-05-28,10
2023-05-29,13
2023-05-30,66
2023-05-31,76
2023-06-01,41
2023-06-02,64
2023-06-03,6
2023-06-04,1
2023-06-05,27
2023-06-06,67
2023-06-07,100
2023-06-08,19
2023-06-09,28
2023-06-10,1
2023-06-11,6
2023-06-12,52
2023-06-13,62
2023-06-14,110
2023-06-15,46
2023-06-16,34
2023-06-17,9
2023-06-18,8
2023-06-19,71
2023-06-20,35
2023-06-21,19
2023-06-22,59
2023-06-23,78
2023-06-24,5
2023-06-25,7
2023-06-26,49
2023-06-27,21
2023-06-28,65
2023-06-29,34
2023-06-30,30
2023-07-01,13
2023-07-02,0
2023-07-03,18
